# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
23.000000	4.2797263e-44	2.3231114e-45	1.6953841e-43
23.007812	4.2681529e-44	2.3175903e-45	1.6894120e-43
23.015625	4.2566162e-44	2.3120848e-45	1.6834714e-43
23.023438	4.2451162e-44	2.3065951e-45	1.6776033e-43
23.031250	4.2336528e-44	2.3011209e-45	1.6718323e-43
23.039062	4.2222257e-44	2.2956568e-45	1.6660907e-43
23.046875	4.2108350e-44	2.2901557e-45	1.6603783e-43
23.054688	4.1994804e-44	2.2846703e-45	1.6546950e-43
23.062500	4.1881619e-44	2.2792008e-45	1.6490146e-43
23.070312	4.1768794e-44	2.2737469e-45	1.6432880e-43
23.078125	4.1656326e-44	2.2683088e-45	1.6375904e-43
23.085938	4.1544216e-44	2.2628862e-45	1.6319217e-43
23.093750	4.1432461e-44	2.2574792e-45	1.6262817e-43
23.101562	4.1321061e-44	2.2520877e-45	1.6206701e-43
23.109375	4.1210014e-44	2.2467117e-45	1.6150867e-43
23.117188	4.1099319e-44	2.2413512e-45	1.6095313e-43
23.125000	4.0988975e-44	2.2360060e-45	1.6039695e-43
23.132812	4.0878752e-44	2.2306762e-45	1.5984061e-43
23.140625	4.0767620e-44	2.2253616e-45	1.5927764e-43
23.148438	4.0656843e-44	2.2200623e-45	1.5871254e-43
23.156250	4.0546422e-44	2.2147782e-45	1.5815056e-43
23.164062	4.0436355e-44	2.2095093e-45	1.5759168e-43
23.171875	4.0326640e-44	2.2042983e-45	1.5704960e-43
23.179688	4.0217277e-44	2.1991107e-45	1.5651026e-43
23.187500	4.0108265e-44	2.1939379e-45	1.5597363e-43
23.195312	4.0001281e-44	2.1887798e-45	1.5543970e-43
23.203125	3.9895332e-44	2.1836364e-45	1.5490844e-43
23.210938	3.9789714e-44	2.1785075e-45	1.5437984e-43
23.218750	3.9684427e-44	2.1733933e-45	1.5385388e-43
23.226562	3.9579470e-44	2.1682935e-45	1.5333053e-43
23.234375	3.9474840e-44	2.1632082e-45	1.5280978e-43
23.242188	3.9370539e-44	2.1581374e-45	1.5229161e-43
23.250000	3.9266563e-44	2.1530810e-45	1.5177601e-43
23.257812	3.9162913e-44	2.1480389e-45	1.5126295e-43
23.265625	3.9059586e-44	2.1430111e-45	1.5075242e-43
23.273438	3.8956583e-44	2.1379976e-45	1.5024439e-43
23.281250	3.8853902e-44	2.1329983e-45	1.4973886e-43
23.289062	3.8751541e-44	2.1280132e-45	1.4923581e-43
23.296875	3.8649500e-44	2.1230422e-45	1.4873521e-43
23.304688	3.8547779e-44	2.1180853e-45	1.4823705e-43
23.312500	3.8446374e-44	2.1131425e-45	1.4774132e-43
23.320312	3.8345287e-44	2.1082137e-45	1.4724800e-43
23.328125	3.8244515e-44	2.1032989e-45	1.4675707e-43
23.335938	3.8144058e-44	2.0983980e-45	1.4626851e-43
23.343750	3.8043914e-44	2.0935110e-45	1.4578232e-43
23.351562	3.7944083e-44	2.0886378e-45	1.4529847e-43
23.359375	3.7844564e-44	2.0837784e-45	1.4481694e-43
23.367188	3.7745355e-44	2.0789329e-45	1.4433773e-43
23.375000	3.7646455e-44	2.0741010e-45	1.4386000e-43
23.382812	3.7547864e-44	2.0692828e-45	1.4337606e-43
23.390625	3.7449580e-44	2.0644783e-45	1.4289459e-43
23.398438	3.7351603e-44	2.0596873e-45	1.4241557e-43
23.406250	3.7253931e-44	2.0549100e-45	1.4194883e-43
